BEN,Billed Entity Name,City,State,Applicant Type,C2 Budget Cycle,Child Entity Count,Library Square Footage,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
132889,WEST ALLIS PUBLIC LIBRARY,MILWAUKEE,WI,Library,FY2021-2025,0,"47,000",$4.50,"$211,500.00",Forecast,$0.00,$0.00,"$211,500.00"
133252,WESTBORO PUBLIC LIBRARY,WESTBORO,WI,Library,FY2021-2025,0,"1,825",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
146953,ELMWOOD PUBLIC LIBRARY,ELMWOOD,WI,Library,FY2021-2025,0,"3,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133316,GALESVILLE PUBLIC LIBRARY,GALESVILLE,WI,Library,FY2021-2025,0,"4,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133077,NEW LISBON MEMORIAL LIBRARY,NEW LISBON,WI,Library,FY2021-2025,0,"4,770",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132952,HEDBERG PUBLIC LIBRARY,JANESVILLE,WI,Library,FY2021-2025,0,"65,000",$4.50,"$292,500.00",Forecast,$0.00,$0.00,"$292,500.00"
133146,KIMBERLY PUBLIC LIBRARY,KIMBERLY,WI,Library,FY2021-2025,0,"11,800",$4.50,"$53,100.00",Forecast,$0.00,$0.00,"$53,100.00"
133369,CORNELL PUBLIC LIBRARY,CORNELL,WI,Library,FY2021-2025,0,"3,313",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132774,PEWAUKEE PUBLIC LIBRARY,PEWAUKEE,WI,Library,FY2021-2025,0,"27,600",$4.50,"$124,200.00",Forecast,$0.00,$0.00,"$124,200.00"
133292,PLUM LAKE PUBLIC LIBRARY,SAYNER,WI,Library,FY2021-2025,0,"4,030",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
16044127,BRICKL MEMORIAL LIBRARY,DICKEYVILLE,WI,Library,FY2021-2025,0,"1,246",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132773,OOSTBURG PUBLIC LIBRARY,OOSTBURG,WI,Library,FY2021-2025,0,"7,000",$4.50,"$31,500.00",Forecast,$0.00,$0.00,"$31,500.00"
132998,MCCOY PUBLIC LIBRARY,SHULLSBURG,WI,Library,FY2021-2025,0,"3,115",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133200,LETTIE W. JENSEN PUBLIC LIBRARY,AMHERST,WI,Library,FY2021-2025,0,"2,536",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132799,WEST BEND COMMUNITY MEM LIB,WEST BEND,WI,Library,FY2021-2025,0,"62,000",$4.50,"$279,000.00",Forecast,$0.00,$0.00,"$279,000.00"
133168,ALGOMA PUBLIC LIBRARY,ALGOMA,WI,Library,FY2021-2025,0,"5,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133291,PRESQUE ISLE PUBLIC LIBRARY,PRESQUE ISLE,WI,Library,FY2021-2025,0,"7,190",$4.50,"$32,355.00",Forecast,$0.00,$0.00,"$32,355.00"
132916,BARNEVELD PUBLIC LIBRARY,BARNEVELD,WI,Library,FY2021-2025,0,"3,200",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132887,SHOREWOOD PUBLIC LIBRARY,SHOREWOOD,WI,Library,FY2021-2025,0,"21,000",$4.50,"$94,500.00",Forecast,$0.00,$0.00,"$94,500.00"
133432,MILLTOWN PUBLIC LIBRARY,MILLTOWN,WI,Library,FY2021-2025,0,"3,120",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133219,LOYAL PUBLIC LIBRARY,LOYAL,WI,Library,FY2021-2025,0,"6,600",$4.50,"$29,700.00",Forecast,$0.00,$0.00,"$29,700.00"
133058,JANE MORGAN MEMORIAL LIBRARY,CAMBRIA,WI,Library,FY2021-2025,0,"1,795",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
200991,PLUM CITY PUBLIC LIBRARY,PLUM CITY,WI,Library,FY2021-2025,0,"3,000",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
13199401,ETTRICK PUBLIC LIBRARY,ETTRICK,WI,Library,FY2021-2025,0,"2,600",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133430,LUCK PUBLIC LIBRARY,LUCK,WI,Library,FY2021-2025,0,"3,592",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132975,MONROE PUBLIC LIBRARY,MONROE,WI,Library,FY2021-2025,0,"22,420",$4.50,"$100,890.00",Forecast,$0.00,$0.00,"$100,890.00"
133383,MONDOVI PUBLIC LIBRARY,MONDOVI,WI,Library,FY2021-2025,0,"2,555",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133325,LAWTON MEMORIAL LIBRARY,LA FARGE,WI,Library,FY2021-2025,0,"2,200",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
133342,MCINTOSH MEMORIAL LIBRARY,VIROQUA,WI,Library,FY2021-2025,0,"7,424",$4.50,"$33,408.00",Forecast,$0.00,$0.00,"$33,408.00"
133402,VAUGHN PUBLIC LIBRARY,ASHLAND,WI,Library,FY2021-2025,0,"15,715",$4.50,"$70,717.50",Forecast,$0.00,$0.00,"$70,717.50"
133118,PRESCOTT PUBLIC LIBRARY,PRESCOTT,WI,Library,FY2021-2025,0,"6,556",$4.50,"$29,502.00",Forecast,$0.00,$0.00,"$29,502.00"
132736,HARTLAND PUBLIC LIBRARY,HARTLAND,WI,Library,FY2021-2025,0,"21,000",$4.50,"$94,500.00",Forecast,$0.00,$0.00,"$94,500.00"
156012,CAMBRIDGE COMMUNITY LIBRARY,CAMBRIDGE,WI,Library,FY2021-2025,0,"2,121",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
132893,WHITEFISH BAY LIBRARY,MILWAUKEE,WI,Library,FY2021-2025,0,"24,000",$4.50,"$108,000.00",Forecast,$0.00,$0.00,"$108,000.00"
133124,SOMERSET PUBLIC LIBRARY,SOMERSET,WI,Library,FY2021-2025,0,"3,500",$4.50,"$25,000.00",Forecast,$0.00,$0.00,"$25,000.00"
