BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
133367,COLFAX SCHOOL DISTRICT,COLFAX,WI,School District,CESA 10 (17026442),FY2026-2030,2,Per Site Basis School District,716,,$201.57 ,,"$144,324.12 ",Forecast,$0.00 ,$0.00 ,"$144,324.12 "
61199,PIUS XI HIGH SCHOOL,MILWAUKEE,WI,School,,FY2026-2030,0,Independent School,706,,$201.57 ,,"$142,308.42 ",Forecast,$0.00 ,$0.00 ,"$142,308.42 "
60851,JOURNEY CHURCH OF THE ASSEMBLIES OF GOD DBA CHRISTIAN LIFE SCHOOL,KENOSHA,WI,School,,FY2026-2030,0,Independent School,704,,$201.57 ,,"$141,905.28 ",Forecast,$0.00 ,$0.00 ,"$141,905.28 "
133031,CUBA CITY SCHOOL DISTRICT,CUBA CITY,WI,School District,AJD Consulting Services (16062967),FY2026-2030,2,Per Site Basis School District,703,,$201.57 ,,"$141,703.71 ",Preliminary,$0.00 ,"$133,511.39 ","$8,192.32 "
133326,MELROSE-MINDORO SCHOOL DISTRICT,MELROSE,WI,School District,,FY2026-2030,2,Per Site Basis School District,699,,$201.57 ,,"$140,897.43 ",Forecast,$0.00 ,$0.00 ,"$140,897.43 "
132850,PALMYRA-EAGLE AREA SCHOOL DISTRICT,PALMYRA,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,4,Per Site Basis School District,521,,$201.57 ,,"$140,776.43 ",Preliminary,$0.00 ,"$4,602.40 ","$136,174.03 "
132959,IOWA-GRANT SCHOOL DISTRICT,LIVINGSTON,WI,School District,AJD Consulting Services (16062967),FY2026-2030,2,Per Site Basis School District,696,,$201.57 ,,"$140,292.72 ",Preliminary,$0.00 ,"$37,450.00 ","$102,842.72 "
133357,BOYCEVILLE SCHOOL DISTRICT,BOYCEVILLE,WI,School District,CESA #11 (17000269),FY2026-2030,3,Per Site Basis School District,692,,$201.57 ,,"$139,486.44 ",Forecast,$0.00 ,$0.00 ,"$139,486.44 "
132746,DODGELAND SCHOOL DISTRICT,JUNEAU,WI,School District,"e2e Exchange, LLC (16043595)",FY2026-2030,3,Per Site Basis School District,680,,$201.57 ,,"$139,022.80 ",Forecast,$0.00 ,$0.00 ,"$139,022.80 "
159885,RONCALLI CATHOLIC SCHOOLS,MANITOWOC,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,3,Per Site Basis School District,683,,$201.57 ,,"$137,672.31 ",Forecast,$0.00 ,$0.00 ,"$137,672.31 "
17047112,LOURDES ACADEMY DISTRICT,OSHKOSH,WI,School District,CESA 9 (16062593),FY2026-2030,3,Per Site Basis School District,679,,$201.57 ,,"$136,866.03 ",Forecast,$0.00 ,$0.00 ,"$136,866.03 "
133395,ELEVA-STRUM SCHOOL DISTRICT,STRUM,WI,School District,CESA 10 (17026442),FY2026-2030,3,Per Site Basis School District,663,,$201.57 ,,"$134,789.83 ",Forecast,$0.00 ,$0.00 ,"$134,789.83 "
16066558,MILWAUKEE SCHOLARS CHARTER SCHOOL,MILWAUKEE,WI,School,Elite Fund Inc (16043589),FY2026-2030,0,Independent School,665,,$201.57 ,,"$134,044.05 ",Forecast,$0.00 ,$0.00 ,"$134,044.05 "
133354,AUGUSTA SCHOOL DISTRICT,AUGUSTA,WI,School District,CESA 10 (17026442),FY2026-2030,4,Per Site Basis School District,540,,$201.57 ,,"$133,862.55 ",Preliminary,$0.00 ,"$1,780.00 ","$132,082.55 "
196655,MCDONELL AREA CATHOLIC SCHOOLS,CHIPPEWA FALLS,WI,School District,CESA 10 (17026442),FY2026-2030,4,Per Site Basis School District,607,,$201.57 ,,"$133,721.48 ",Forecast,$0.00 ,$0.00 ,"$133,721.48 "
133307,BANGOR SCHOOL DISTRICT,BANGOR,WI,School District,E-Rate Complete (16043592),FY2026-2030,2,Per Site Basis School District,662,,$201.57 ,,"$133,439.34 ",Forecast,$0.00 ,$0.00 ,"$133,439.34 "
17002339,WOODLANDS SCHOOL,MILWAUKEE,WI,School District,Solix Inc. (17020245),FY2026-2030,2,Per Site Basis School District,661,,$201.57 ,,"$133,237.77 ",Forecast,$0.00 ,$0.00 ,"$133,237.77 "
133391,SPRING VALLEY SCHOOL DIST,SPRING VALLEY,WI,School District,CESA #11 (17000269),FY2026-2030,3,Per Site Basis School District,650,,$201.57 ,,"$132,975.70 ",Forecast,$0.00 ,$0.00 ,"$132,975.70 "
133289,PHILLIPS SCHOOL DISTRICT,PHILLIPS,WI,School District,,FY2026-2030,3,Per Site Basis School District,653,,$201.57 ,,"$132,774.13 ",Preliminary,$0.00 ,"$16,660.21 ","$116,113.92 "
16076355,HERITAGE CHRISTIAN SCHOOLS,NEW BERLIN,WI,School,"ERateProgram, LLC (16048902)",FY2026-2030,0,Independent School,658,,$201.57 ,,"$132,633.06 ",Preliminary,$0.00 ,"$63,720.00 ","$68,913.06 "
133075,MONTELLO SCHOOL DISTRICT,MONTELLO,WI,School District,CESA 9 (16062593),FY2026-2030,3,Per Site Basis School District,539,,$201.57 ,,"$132,370.99 ",Forecast,$0.00 ,$0.00 ,"$132,370.99 "
133283,MINOCQUA J1 SCHOOL DISTRICT,MINOCQUA,WI,School District,CESA 9 (16062593),FY2026-2030,2,Per Site Basis School District,507,,$201.57 ,,"$132,169.42 ",Preliminary,$0.00 ,"$132,169.42 ",$0.00 
132782,RANDOM LAKE SCHOOL DISTRICT,RANDOM LAKE,WI,School District,,FY2026-2030,3,Per Site Basis School District,648,,$201.57 ,,"$131,766.28 ",Forecast,$0.00 ,$0.00 ,"$131,766.28 "
